location,lat,lng,boundary,stat_type,name,date,value,units,scenario,population
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011985,7233,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011986,6071,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011987,11152,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011988,8429,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011989,8587,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011990,8556,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011991,8235,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011992,8434,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011993,7619,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011994,4696,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011995,8012,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011996,8167,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011997,4486,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011998,6789,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01011999,10734,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012000,9945,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012001,7354,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012002,11588,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012003,6283,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012004,8141,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012005,7628,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012006,8593,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012007,7939,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012008,9109,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012009,6552,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012010,7907,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012011,8635,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012012,9059,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012013,12100,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012014,9046,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012015,5631,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012016,7680,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012017,6553,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012018,7117,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012019,5264,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012020,10279,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CNRM-CM5,01012021,4944,ha,rcp45,H_mu
